Prod_ID,Prod_Cat,User_ID,User_Province,Event,Clicks,Wishlist
NufuAN5RYJCQ7sUgEaJD,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Ny76UajqskcBOL2NaItv,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
NyPU3SDyNOUJQ9tn5ini,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
O63Ejo53ZPFBLKmQlTSN,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
OWVXhUIxqXtwH8aocsxV,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Od203cLq9fWOCXrWMZUx,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
OeBxBnrfA6bIIdXqBxYM,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
OkTXn2CQcmcepio8aQgt,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
OqbV0bNdBSLfFkDckILi,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
OyRu6l4LTU77XHSrrkAp,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
P75pNpjoOP6jMBNoS0eH,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
PUXbCvQA0gpKw87G7PSu,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
PZzheDwN30Uv5mBucnIY,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Q4vD57olwp88KXI1IYUL,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
QQ5MpJFHrOpFlaK12vNe,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
QUek0FlEjvmVJ6mEZqjs,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
QVlQNSfbvWcP3HWYGbRa,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
QXoPUk5MZxBcZZthdu3L,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
QusFWFThqn46h6o5UYzX,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
QwPtwSBalStaUTrLj1B7,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
QxPgqMVyFIgKYSJbyJuu,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
R3KGOBTFrptccsRge872,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
RX5m2jiCcGV41a08VamZ,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
RYnsLce5IQNnnGuM9HhA,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
RZ1mcaEL4W65amydapir,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
S7Gj8Vk9Xlg7NaWiOvpg,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
SUdfbdQEqj2hZIeXWDFy,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
SufDdUOOautPR98RxTvC,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
T6Mon6sUtkOflOx2PpGj,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
T6ft3SKAUjuh280mskSG,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
TJCzeGUZYGK9BRqeVffn,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
TO7oeZsBkpmbA7OR9AC1,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
